model_name,ticker,date,close,buy_1_price,buy_2_price,stop_loss_pct,target_price,basis_buy_1,basis_buy_2,basis_target
price_model_1,NVDA,2026-09-11 00:00:00-04:00,218.2899932861328,212.36,189.8,-0.08,246.33,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,META,2026-09-11 00:00:00-04:00,648.030029296875,600.9,517.78,-0.08,697.05,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,TSLA,2026-09-11 00:00:00-04:00,365.4400024414063,354.5,298.32,-0.08,411.22,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,AAPL,2026-09-11 00:00:00-04:00,332.2699890136719,317.83,274.91,-0.08,368.68,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,MSFT,2026-09-11 00:00:00-04:00,495.6300048828125,474.38,352.17,-0.08,550.28,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,GOOGL,2026-09-11 00:00:00-04:00,338.5,331.37,317.49,-0.08,384.39,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,AMZN,2026-09-11 00:00:00-04:00,256.7799987792969,255.25,226.65,-0.08,296.09,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,NVDA,2026-09-11 00:00:00-04:00,218.2899932861328,212.36,189.8,-0.08,246.33,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,META,2026-09-11 00:00:00-04:00,648.030029296875,600.9,517.78,-0.08,697.05,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,TSLA,2026-09-11 00:00:00-04:00,365.4400024414063,354.5,298.32,-0.08,411.22,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,AAPL,2026-09-14 00:00:00-04:00,333.0799865722656,318.32,274.91,-0.08,369.26,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,MSFT,2026-09-14 00:00:00-04:00,505.4100036621094,474.31,352.17,-0.08,550.19,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,GOOGL,2026-09-14 00:00:00-04:00,349.3900146484375,346.77,317.49,-0.08,402.26,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,AMZN,2026-09-14 00:00:00-04:00,253.5399932861328,250.65,226.65,-0.08,290.75,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,NVDA,2026-09-14 00:00:00-04:00,210.9600067138672,206.65,189.8,-0.08,239.72,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,META,2026-09-14 00:00:00-04:00,665.5999755859375,602.56,512.97,-0.08,698.97,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,TSLA,2026-09-14 00:00:00-04:00,358.9700012207031,353.81,298.32,-0.08,410.42,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%)
price_model_1,AAPL,2026-09-15 00:00:00-04:00,331.3399963378906,318.7,274.91,-0.08,369.7,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,MSFT,2026-09-15 00:00:00-04:00,497.1199951171875,476.49,352.17,-0.08,552.73,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,GOOGL,2026-09-15 00:00:00-04:00,344.9800109863281,331.01,317.49,-0.08,383.97,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,AMZN,2026-09-15 00:00:00-04:00,248.4199981689453,240.97,226.65,-0.08,279.52,폴백: 현재가 -3% (지표 데이터 부족),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,NVDA,2026-09-15 00:00:00-04:00,212.1699981689453,205.93,189.8,-0.08,238.88,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,META,2026-09-15 00:00:00-04:00,670.239990234375,603.96,510.96,-0.08,700.59,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,TSLA,2026-09-15 00:00:00-04:00,356.5799865722656,352.54,298.32,-0.08,408.95,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
